The Witcher 3,Minecraft,God of War,Dark Souls III,Red Dead Redemption 2,Overwatch,Celeste,Hollow Knight,Stardew Valley,Cyberpunk 2077,Fortnite,League of Legends,Valorant,Among Us,Apex Legends,The Legend of Zelda: Breath of the Wild,Super Mario Odyssey,DOOM Eternal,Final Fantasy XV,Persona 5
4,,9,7,1,1,0,10,7,8,0,,,2,2,,3,,5,3
7,,,,5,9,2,,,0,7,2,0,,,10,3,,8,5
1,6,,,3,8,3,6,6,2,,9,,,7,,1,2,0,4
4,3,10,4,3,,,,0,,9,,0,10,,9,9,0,4,1
10,7,4,0,,,,,,5,1,8,9,,,,6,,0,1
0,7,3,6,,,5,,,0,3,2,,10,7,10,10,2,,6
10,,3,1,2,5,,10,0,,5,,,4,,,6,8,4,
,3,6,3,3,0,7,6,0,3,,2,1,,,3,8,9,2,9
4,7,7,,,,4,2,0,7,,0,6,,,,,4,,1
4,1,,10,,8,10,6,,,1,,,7,4,4,9,,,9
